incident_id,incident_title,application_module,severity,priority,reported_datetime,environment,incident_status,assigned_team,assigned_engineer,root_cause,resolution_summary,resolved_datetime,sla_hours,sla_breached,related_transaction_id,related_release_id
INC00000017,Fraud Monitoring service issue - DUPLICATE_TRANSACTION,Fraud Monitoring,SEV2,P2,2026-01-12 22:12:48,PRODUCTION,OPEN,Platform Engineering,ENG0284,,,,8,Y,,REL0253
INC00000018,Cards service issue - DATABASE_ERROR,Cards,SEV4,P4,2024-04-17 11:54:56,PRODUCTION,OPEN,Payments,ENG0206,,,,72,Y,TXN0000006046,REL0171
INC00000019,Notifications service issue - DATABASE_ERROR,Notifications,SEV3,P3,2023-08-18 21:58:36,PRODUCTION,OPEN,Platform Engineering,ENG0187,,,,24,Y,TXN0000003993,REL0202
INC00000020,Customer Onboarding service issue - SETTLEMENT_FAILURE,Customer Onboarding,SEV4,P4,2023-03-03 12:57:24,DEV,CLOSED,Payments,ENG0016,Capacity Issue,Resolved by addressing capacity issue and validating impacted service.,2023-03-12 00:35:44,72,Y,,REL0189
INC00000021,UPI service issue - KYC_BLOCK,UPI,SEV4,P4,2026-07-10 20:20:26,UAT,CLOSED,QA Automation,ENG0215,Code Defect,Resolved by addressing code defect and validating impacted service.,2026-07-10 20:58:26,72,N,TXN0000018013,REL0164
INC00000022,Payments service issue - KYC_BLOCK,Payments,SEV2,P2,2025-01-23 21:43:15,PRODUCTION,CLOSED,Cards,ENG0131,Deployment Regression,Resolved by addressing deployment regression and validating impacted service.,2025-01-24 02:39:28,8,N,,REL0330
INC00000023,UPI service issue - AUTH_FAILURE,UPI,SEV4,P4,2025-12-27 03:29:11,PRODUCTION,ON_HOLD,KYC & Onboarding,ENG0207,,,,72,Y,,REL0158
INC00000024,Payments service issue - INSUFFICIENT_BALANCE,Payments,SEV4,P4,2024-05-25 02:35:26,PRODUCTION,CLOSED,SRE,ENG0140,Authentication Failure,Resolved by addressing authentication failure and validating impacted service.,2024-05-30 07:41:25,72,Y,,REL0128
INC00000025,API Gateway service issue - ACCOUNT_NOT_FOUND,API Gateway,SEV3,P3,2024-03-13 13:45:02,DEV,CLOSED,Payments,ENG0084,Deployment Regression,Resolved by addressing deployment regression and validating impacted service.,2024-03-14 11:07:03,24,N,,REL0350
INC00000026,KYC service issue - ACCOUNT_NOT_FOUND,KYC,SEV4,P4,2025-06-19 11:26:49,PRODUCTION,CLOSED,QA Automation,ENG0097,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2025-06-22 08:05:30,72,N,TXN0000023116,REL0151
INC00000027,Notifications service issue - INVALID_CUSTOMER,Notifications,SEV4,P4,2024-07-18 11:55:04,PRODUCTION,RESOLVED,Digital Banking,ENG0051,Invalid Data,Resolved by addressing invalid data and validating impacted service.,2024-07-19 07:55:55,72,N,,REL0231
INC00000028,API Gateway service issue - SERVICE_UNAVAILABLE,API Gateway,SEV4,P4,2024-05-12 06:36:50,PRODUCTION,ON_HOLD,Digital Banking,ENG0067,,,,72,Y,TXN0000013949,REL0247
INC00000029,UPI service issue - AUTH_FAILURE,UPI,SEV1,P1,2026-05-25 20:48:49,PRODUCTION,RESOLVED,Digital Banking,ENG0213,Invalid Data,Resolved by addressing invalid data and validating impacted service.,2026-05-26 03:14:24,4,Y,,REL0144
INC00000030,Customer Onboarding service issue - ACCOUNT_NOT_FOUND,Customer Onboarding,SEV4,P4,2024-04-12 15:38:28,PRODUCTION,RESOLVED,Lending,ENG0172,Database Lock,Resolved by addressing database lock and validating impacted service.,2024-04-13 17:43:14,72,N,TXN0000005283,REL0139
INC00000031,UPI service issue - INVALID_CUSTOMER,UPI,SEV4,P4,2024-12-19 22:28:35,DEV,ON_HOLD,Platform Engineering,ENG0051,,,,72,Y,TXN0000021934,REL0320
INC00000032,Cards service issue - RATE_LIMIT,Cards,SEV4,P4,2023-05-06 20:11:19,UAT,CLOSED,KYC & Onboarding,ENG0065,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2023-05-14 21:56:27,72,Y,,REL0137
INC00000033,API Gateway service issue - DATABASE_ERROR,API Gateway,SEV2,P2,2025-01-28 13:42:57,PRODUCTION,RESOLVED,SRE,ENG0270,Code Defect,Resolved by addressing code defect and validating impacted service.,2025-01-29 05:54:16,8,Y,,REL0283
INC00000034,API Gateway service issue - DATABASE_ERROR,API Gateway,SEV4,P4,2023-10-17 21:56:33,UAT,RESOLVED,SRE,ENG0122,Capacity Issue,Resolved by addressing capacity issue and validating impacted service.,2023-10-26 03:57:30,72,Y,TXN0000007309,REL0326
INC00000035,Accounts service issue - DUPLICATE_TRANSACTION,Accounts,SEV4,P4,2023-02-13 16:37:05,PRODUCTION,IN_PROGRESS,KYC & Onboarding,ENG0079,,,,72,Y,,REL0259
INC00000036,Statements service issue - UPSTREAM_TIMEOUT,Statements,SEV4,P4,2023-05-11 10:39:17,PRODUCTION,ON_HOLD,Fraud & Risk,ENG0249,,,,72,Y,,REL0239
INC00000037,API Gateway service issue - ACCOUNT_NOT_FOUND,API Gateway,SEV4,P4,2024-11-07 09:40:10,PRODUCTION,RESOLVED,QA Automation,ENG0092,Database Lock,Resolved by addressing database lock and validating impacted service.,2024-11-09 07:42:36,72,N,TXN0000014391,REL0127
INC00000038,Customer Onboarding service issue - DATABASE_ERROR,Customer Onboarding,SEV2,P2,2024-05-19 05:41:56,PRODUCTION,CLOSED,Platform Engineering,ENG0213,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2024-05-19 23:04:24,8,Y,,REL0349
INC00000039,API Gateway service issue - DUPLICATE_TRANSACTION,API Gateway,SEV2,P2,2025-06-20 00:49:04,PRODUCTION,RESOLVED,Platform Engineering,ENG0037,Code Defect,Resolved by addressing code defect and validating impacted service.,2025-06-20 22:52:36,8,Y,TXN0000018617,REL0346
INC00000040,KYC service issue - RATE_LIMIT,KYC,SEV4,P4,2023-03-05 10:11:30,UAT,RESOLVED,Platform Engineering,ENG0251,Code Defect,Resolved by addressing code defect and validating impacted service.,2023-03-12 11:39:43,72,Y,,REL0342
INC00000041,UPI service issue - ACCOUNT_NOT_FOUND,UPI,SEV4,P4,2026-01-28 13:41:08,PRODUCTION,CLOSED,Fraud & Risk,ENG0044,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2026-02-05 12:41:07,72,Y,TXN0000007188,REL0315
INC00000042,Fraud Monitoring service issue - SETTLEMENT_FAILURE,Fraud Monitoring,SEV4,P4,2025-03-06 14:56:22,PRODUCTION,RESOLVED,Payments,ENG0187,Database Lock,Resolved by addressing database lock and validating impacted service.,2025-03-09 11:03:42,72,N,,REL0331
INC00000043,KYC service issue - ACCOUNT_NOT_FOUND,KYC,SEV4,P4,2023-09-12 05:53:40,PRODUCTION,RESOLVED,Fraud & Risk,ENG0265,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2023-09-18 00:31:09,72,Y,,REL0109
INC00000044,Fraud Monitoring service issue - INVALID_CUSTOMER,Fraud Monitoring,SEV4,P4,2026-06-07 11:45:41,PRODUCTION,ON_HOLD,Digital Banking,ENG0039,,,,72,Y,TXN0000004722,REL0109
INC00000045,API Gateway service issue - KYC_BLOCK,API Gateway,SEV3,P3,2025-01-11 15:30:32,PRODUCTION,CLOSED,QA Automation,ENG0175,Invalid Data,Resolved by addressing invalid data and validating impacted service.,2025-01-13 14:43:40,24,Y,TXN0000009810,REL0298
INC00000046,Accounts service issue - UPSTREAM_TIMEOUT,Accounts,SEV3,P3,2026-02-02 22:13:58,SIT,ON_HOLD,Cards,ENG0135,,,,24,Y,,REL0304
INC00000047,API Gateway service issue - INSUFFICIENT_BALANCE,API Gateway,SEV4,P4,2023-05-04 20:11:21,PRODUCTION,IN_PROGRESS,Fraud & Risk,ENG0266,,,,72,Y,,REL0348
INC00000048,Login service issue - INSUFFICIENT_BALANCE,Login,SEV3,P3,2025-08-15 19:07:44,PRODUCTION,RESOLVED,Digital Banking,ENG0255,Code Defect,Resolved by addressing code defect and validating impacted service.,2025-08-17 06:04:27,24,Y,TXN0000020584,REL0145
INC00000049,Notifications service issue - SETTLEMENT_FAILURE,Notifications,SEV2,P2,2024-05-09 14:53:25,PRODUCTION,OPEN,SRE,ENG0108,,,,8,Y,,REL0124
INC00000050,Login service issue - RATE_LIMIT,Login,SEV3,P3,2024-07-01 17:20:22,PRODUCTION,RESOLVED,QA Automation,ENG0221,Database Lock,Resolved by addressing database lock and validating impacted service.,2024-07-04 17:06:15,24,Y,TXN0000013339,REL0261
INC00000051,Payments service issue - DATABASE_ERROR,Payments,SEV4,P4,2024-09-05 03:02:18,PRODUCTION,CLOSED,Lending,ENG0121,Deployment Regression,Resolved by addressing deployment regression and validating impacted service.,2024-09-06 01:12:00,72,N,TXN0000010342,REL0279
INC00000052,Statements service issue - INSUFFICIENT_BALANCE,Statements,SEV4,P4,2024-05-16 15:12:41,PRODUCTION,CLOSED,SRE,ENG0232,Capacity Issue,Resolved by addressing capacity issue and validating impacted service.,2024-05-24 00:06:25,72,Y,,REL0108
INC00000053,API Gateway service issue - SETTLEMENT_FAILURE,API Gateway,SEV4,P4,2025-10-26 20:38:13,PRODUCTION,RESOLVED,SRE,ENG0278,Capacity Issue,Resolved by addressing capacity issue and validating impacted service.,2025-10-31 11:38:46,72,Y,TXN0000014636,REL0326
INC00000054,Notifications service issue - INSUFFICIENT_BALANCE,Notifications,SEV1,P1,2023-11-09 22:56:21,PRODUCTION,RESOLVED,Payments,ENG0112,Capacity Issue,Resolved by addressing capacity issue and validating impacted service.,2023-11-10 04:21:12,4,Y,,REL0165
INC00000055,Notifications service issue - DUPLICATE_TRANSACTION,Notifications,SEV4,P4,2023-09-25 04:02:58,PRODUCTION,CLOSED,Digital Banking,ENG0206,Database Lock,Resolved by addressing database lock and validating impacted service.,2023-09-26 03:42:44,72,N,TXN0000007663,REL0113
INC00000056,Fraud Monitoring service issue - RATE_LIMIT,Fraud Monitoring,SEV3,P3,2025-12-19 05:32:33,PRODUCTION,RESOLVED,Digital Banking,ENG0190,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2025-12-21 11:16:18,24,Y,TXN0000000653,REL0264
INC00000057,UPI service issue - KYC_BLOCK,UPI,SEV4,P4,2025-09-28 06:02:49,UAT,CLOSED,SRE,ENG0106,Database Lock,Resolved by addressing database lock and validating impacted service.,2025-10-01 18:07:55,72,Y,,REL0304
INC00000058,Login service issue - SERVICE_UNAVAILABLE,Login,SEV2,P2,2026-05-13 07:57:27,SIT,CLOSED,Fraud & Risk,ENG0142,Invalid Data,Resolved by addressing invalid data and validating impacted service.,2026-05-13 22:37:43,8,Y,,REL0267
INC00000059,Statements service issue - SETTLEMENT_FAILURE,Statements,SEV3,P3,2024-07-08 20:26:18,PRODUCTION,RESOLVED,Fraud & Risk,ENG0103,Invalid Data,Resolved by addressing invalid data and validating impacted service.,2024-07-09 22:29:34,24,Y,,REL0153
INC00000060,API Gateway service issue - INVALID_CUSTOMER,API Gateway,SEV3,P3,2024-01-04 20:44:36,PRODUCTION,RESOLVED,Payments,ENG0117,Database Lock,Resolved by addressing database lock and validating impacted service.,2024-01-05 03:53:31,24,N,TXN0000003004,REL0120
INC00000061,Loans service issue - ACCOUNT_NOT_FOUND,Loans,SEV4,P4,2023-08-15 00:30:46,PRODUCTION,CLOSED,Digital Banking,ENG0104,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2023-08-19 08:19:28,72,Y,TXN0000003992,REL0163
INC00000062,KYC service issue - SETTLEMENT_FAILURE,KYC,SEV1,P1,2023-05-27 12:54:29,PRODUCTION,RESOLVED,Fraud & Risk,ENG0100,Capacity Issue,Resolved by addressing capacity issue and validating impacted service.,2023-05-27 15:47:28,4,N,,REL0115
INC00000063,Cards service issue - RATE_LIMIT,Cards,SEV3,P3,2025-01-27 12:44:43,PRODUCTION,IN_PROGRESS,Fraud & Risk,ENG0207,,,,24,Y,TXN0000010057,REL0235
INC00000064,Fraud Monitoring service issue - DATABASE_ERROR,Fraud Monitoring,SEV3,P3,2023-02-23 09:18:33,PRODUCTION,CLOSED,QA Automation,ENG0119,Invalid Data,Resolved by addressing invalid data and validating impacted service.,2023-02-26 03:03:29,24,Y,TXN0000010603,REL0100
INC00000065,Statements service issue - AUTH_FAILURE,Statements,SEV1,P1,2025-06-28 03:30:17,DEV,RESOLVED,KYC & Onboarding,ENG0089,Capacity Issue,Resolved by addressing capacity issue and validating impacted service.,2025-06-28 14:40:24,4,Y,TXN0000005713,REL0347
INC00000066,Accounts service issue - RATE_LIMIT,Accounts,SEV4,P4,2025-01-14 05:09:08,PRODUCTION,RESOLVED,Payments,ENG0187,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2025-01-22 01:36:28,72,Y,,REL0189
INC00000067,API Gateway service issue - SETTLEMENT_FAILURE,API Gateway,SEV4,P4,2025-01-25 09:26:30,PRODUCTION,CLOSED,Cards,ENG0155,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2025-01-28 08:23:50,72,N,TXN0000022228,REL0106
INC00000068,Statements service issue - SERVICE_UNAVAILABLE,Statements,SEV3,P3,2026-03-12 02:10:03,PRODUCTION,RESOLVED,Cards,ENG0194,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2026-03-12 12:15:31,24,N,,REL0296
INC00000069,Notifications service issue - RATE_LIMIT,Notifications,SEV3,P3,2024-02-16 14:30:02,PRODUCTION,OPEN,SRE,ENG0039,,,,24,Y,,REL0262
INC00000070,Statements service issue - AUTH_FAILURE,Statements,SEV2,P2,2023-06-05 20:37:20,PRODUCTION,CLOSED,Lending,ENG0148,Code Defect,Resolved by addressing code defect and validating impacted service.,2023-06-06 07:28:06,8,Y,TXN0000001200,REL0132
INC00000071,Customer Onboarding service issue - RATE_LIMIT,Customer Onboarding,SEV3,P3,2023-01-23 21:43:53,PRODUCTION,IN_PROGRESS,Payments,ENG0270,,,,24,Y,,REL0291
INC00000072,Loans service issue - INSUFFICIENT_BALANCE,Loans,SEV3,P3,2024-09-18 03:54:30,DEV,CLOSED,Cards,ENG0253,Capacity Issue,Resolved by addressing capacity issue and validating impacted service.,2024-09-18 17:16:05,24,N,,REL0223
INC00000073,Accounts service issue - AUTH_FAILURE,Accounts,SEV4,P4,2024-05-28 00:50:57,PRODUCTION,OPEN,SRE,ENG0017,,,,72,Y,,REL0143
INC00000074,Cards service issue - UPSTREAM_TIMEOUT,Cards,SEV4,P4,2026-02-18 00:55:47,DEV,RESOLVED,Fraud & Risk,ENG0115,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2026-02-21 13:37:02,72,Y,TXN0000020789,REL0166
INC00000075,Cards service issue - INVALID_CUSTOMER,Cards,SEV1,P1,2024-12-21 08:59:58,PRODUCTION,CLOSED,Lending,ENG0189,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2024-12-21 14:41:26,4,Y,TXN0000024128,REL0312
INC00000076,Login service issue - RATE_LIMIT,Login,SEV4,P4,2023-12-13 21:47:41,DEV,CLOSED,Digital Banking,ENG0172,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2023-12-19 13:43:20,72,Y,,REL0322
INC00000077,Statements service issue - INVALID_CUSTOMER,Statements,SEV3,P3,2023-06-22 12:37:27,PRODUCTION,CLOSED,Cards,ENG0250,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2023-06-24 21:44:02,24,Y,TXN0000006454,REL0245
INC00000078,Statements service issue - INSUFFICIENT_BALANCE,Statements,SEV3,P3,2026-01-05 16:49:59,UAT,IN_PROGRESS,KYC & Onboarding,ENG0252,,,,24,Y,TXN0000005962,REL0318
INC00000079,Customer Onboarding service issue - SETTLEMENT_FAILURE,Customer Onboarding,SEV3,P3,2024-09-09 20:47:00,PRODUCTION,CLOSED,Fraud & Risk,ENG0292,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2024-09-12 05:04:50,24,Y,TXN0000003555,REL0206
INC00000080,Loans service issue - INVALID_CUSTOMER,Loans,SEV3,P3,2026-03-12 07:46:35,UAT,ON_HOLD,Platform Engineering,ENG0019,,,,24,Y,TXN0000024266,REL0114
INC00000081,Customer Onboarding service issue - AUTH_FAILURE,Customer Onboarding,SEV4,P4,2023-08-30 04:30:55,PRODUCTION,IN_PROGRESS,Digital Banking,ENG0142,,,,72,Y,TXN0000008758,REL0144
INC00000082,Login service issue - KYC_BLOCK,Login,SEV4,P4,2023-04-01 08:27:30,PRODUCTION,CLOSED,Payments,ENG0204,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2023-04-06 08:48:15,72,Y,,REL0109
INC00000083,API Gateway service issue - SETTLEMENT_FAILURE,API Gateway,SEV4,P4,2023-01-19 07:54:31,SIT,CLOSED,QA Automation,ENG0194,Code Defect,Resolved by addressing code defect and validating impacted service.,2023-01-20 11:07:54,72,N,,REL0214
INC00000084,Notifications service issue - DATABASE_ERROR,Notifications,SEV3,P3,2025-12-08 23:25:36,PRODUCTION,OPEN,Platform Engineering,ENG0300,,,,24,Y,,REL0176
INC00000085,Accounts service issue - ACCOUNT_NOT_FOUND,Accounts,SEV4,P4,2026-03-05 11:24:14,PRODUCTION,IN_PROGRESS,Cards,ENG0059,,,,72,Y,TXN0000000653,REL0286
INC00000086,Cards service issue - INVALID_BENEFICIARY,Cards,SEV3,P3,2026-02-16 06:47:32,PRODUCTION,OPEN,Payments,ENG0236,,,,24,Y,TXN0000003540,REL0137
INC00000087,API Gateway service issue - DATABASE_ERROR,API Gateway,SEV3,P3,2024-04-11 15:21:37,PRODUCTION,RESOLVED,SRE,ENG0238,Code Defect,Resolved by addressing code defect and validating impacted service.,2024-04-14 14:55:46,24,Y,,REL0159
INC00000088,Fraud Monitoring service issue - ACCOUNT_NOT_FOUND,Fraud Monitoring,SEV3,P3,2025-10-01 11:09:50,PRODUCTION,CLOSED,SRE,ENG0273,Authentication Failure,Resolved by addressing authentication failure and validating impacted service.,2025-10-03 19:33:28,24,Y,,REL0267
INC00000089,Fraud Monitoring service issue - INSUFFICIENT_BALANCE,Fraud Monitoring,SEV3,P3,2025-07-19 23:35:08,PRODUCTION,IN_PROGRESS,Platform Engineering,ENG0143,,,,24,Y,,REL0100
INC00000090,Accounts service issue - AUTH_FAILURE,Accounts,SEV4,P4,2025-05-25 07:09:33,PRODUCTION,OPEN,Platform Engineering,ENG0011,,,,72,Y,,REL0205
INC00000091,API Gateway service issue - INVALID_BENEFICIARY,API Gateway,SEV4,P4,2024-10-07 10:30:41,DEV,RESOLVED,SRE,ENG0194,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2024-10-07 14:51:26,72,N,TXN0000010161,REL0295
INC00000092,Statements service issue - RATE_LIMIT,Statements,SEV2,P2,2025-04-18 02:01:31,PRODUCTION,CLOSED,Digital Banking,ENG0233,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2025-04-18 06:56:33,8,N,TXN0000001355,REL0196
INC00000093,Cards service issue - DUPLICATE_TRANSACTION,Cards,SEV3,P3,2025-08-22 10:38:36,DEV,RESOLVED,Lending,ENG0176,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2025-08-25 08:33:09,24,Y,,REL0254
INC00000094,Login service issue - DATABASE_ERROR,Login,SEV2,P2,2025-09-18 19:23:40,PRODUCTION,RESOLVED,Payments,ENG0090,Invalid Data,Resolved by addressing invalid data and validating impacted service.,2025-09-19 02:12:36,8,N,,REL0121
INC00000095,KYC service issue - SERVICE_UNAVAILABLE,KYC,SEV4,P4,2024-03-16 06:48:54,PRODUCTION,CLOSED,Payments,ENG0181,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2024-03-17 22:24:09,72,N,TXN0000001545,REL0334
INC00000096,Fraud Monitoring service issue - ACCOUNT_NOT_FOUND,Fraud Monitoring,SEV4,P4,2023-02-26 00:19:51,SIT,RESOLVED,KYC & Onboarding,ENG0194,Upstream Timeout,Resolved by addressing upstream timeout and validating impacted service.,2023-03-06 23:56:14,72,Y,TXN0000004835,REL0350
INC00000097,Accounts service issue - RATE_LIMIT,Accounts,SEV3,P3,2024-08-11 21:42:35,PRODUCTION,RESOLVED,Cards,ENG0265,Deployment Regression,Resolved by addressing deployment regression and validating impacted service.,2024-08-13 05:35:13,24,Y,,REL0122
INC00000098,KYC service issue - SETTLEMENT_FAILURE,KYC,SEV3,P3,2024-01-24 18:00:16,PRODUCTION,OPEN,Payments,ENG0243,,,,24,Y,,REL0152
INC00000099,Notifications service issue - DATABASE_ERROR,Notifications,SEV4,P4,2026-07-14 06:32:37,DEV,CLOSED,Fraud & Risk,ENG0077,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2026-07-16 23:27:57,72,N,TXN0000011320,REL0237
INC00000100,Fraud Monitoring service issue - INVALID_CUSTOMER,Fraud Monitoring,SEV2,P2,2024-09-28 00:38:25,SIT,IN_PROGRESS,Cards,ENG0154,,,,8,Y,,REL0171
INC00000101,Cards service issue - ACCOUNT_NOT_FOUND,Cards,SEV3,P3,2023-02-09 07:23:08,PRODUCTION,CLOSED,Fraud & Risk,ENG0058,Invalid Data,Resolved by addressing invalid data and validating impacted service.,2023-02-10 14:04:18,24,Y,,REL0209
INC00000102,UPI service issue - ACCOUNT_NOT_FOUND,UPI,SEV4,P4,2023-03-25 12:12:46,PRODUCTION,RESOLVED,QA Automation,ENG0113,Authentication Failure,Resolved by addressing authentication failure and validating impacted service.,2023-03-25 20:49:17,72,N,,REL0207
INC00000103,Accounts service issue - KYC_BLOCK,Accounts,SEV4,P4,2024-04-08 04:22:31,PRODUCTION,CLOSED,KYC & Onboarding,ENG0092,Configuration Error,Resolved by addressing configuration error and validating impacted service.,2024-04-08 09:32:55,72,N,,REL0334
INC00000104,Fraud Monitoring service issue - KYC_BLOCK,Fraud Monitoring,SEV3,P3,2023-10-08 03:35:36,PRODUCTION,IN_PROGRESS,Lending,ENG0294,,,,24,Y,TXN0000023216,REL0201
INC00000105,Loans service issue - DUPLICATE_TRANSACTION,Loans,SEV3,P3,2024-12-27 14:08:43,PRODUCTION,IN_PROGRESS,Digital Banking,ENG0011,,,,24,Y,,REL0185
INC00000106,Fraud Monitoring service issue - ACCOUNT_NOT_FOUND,Fraud Monitoring,SEV4,P4,2025-08-20 03:03:32,PRODUCTION,CLOSED,Digital Banking,ENG0180,Network Failure,Resolved by addressing network failure and validating impacted service.,2025-08-25 06:54:43,72,Y,TXN0000020054,REL0166
INC00000107,Login service issue - DATABASE_ERROR,Login,SEV4,P4,2024-11-17 15:25:06,SIT,CLOSED,Lending,ENG0251,Network Failure,Resolved by addressing network failure and validating impacted service.,2024-11-23 09:48:57,72,Y,,REL0267
INC00000108,Accounts service issue - UPSTREAM_TIMEOUT,Accounts,SEV4,P4,2024-01-22 03:17:10,PRODUCTION,ON_HOLD,Fraud & Risk,ENG0184,,,,72,Y,TXN0000012506,REL0307
INC00000109,Loans service issue - DATABASE_ERROR,Loans,SEV3,P3,2025-03-18 11:57:18,PRODUCTION,RESOLVED,Fraud & Risk,ENG0018,Network Failure,Resolved by addressing network failure and validating impacted service.,2025-03-20 08:01:25,24,Y,TXN0000003662,REL0302
INC00000110,Customer Onboarding service issue - SERVICE_UNAVAILABLE,Customer Onboarding,SEV4,P4,2026-06-11 08:58:04,PRODUCTION,RESOLVED,SRE,ENG0177,Authentication Failure,Resolved by addressing authentication failure and validating impacted service.,2026-06-19 10:15:36,72,Y,,REL0329
INC00000111,API Gateway service issue - SERVICE_UNAVAILABLE,API Gateway,SEV2,P2,2023-11-21 20:26:59,PRODUCTION,ON_HOLD,Platform Engineering,ENG0129,,,,8,Y,TXN0000000506,REL0191
