log_id,timestamp,api_name,endpoint,request_method,response_code,response_time_ms,request_size_bytes,response_size_bytes,server_name,environment,error_code,timeout_flag,transaction_id
API000000034,2024-04-08 03:18:13,PaymentAPI,/api/payments,GET,200,178,990,330,SRV014,PRODUCTION,,N,TXN0000005775
API000000035,2026-01-26 03:21:47,FraudAPI,/api/fraud,POST,400,336,1165,3988,SRV003,PRODUCTION,E106,N,
API000000036,2025-06-16 23:36:42,LoanAPI,/api/loans,GET,504,298,1837,3914,SRV011,PRODUCTION,E110,Y,
API000000037,2025-03-08 02:34:23,LoanAPI,/api/loans,GET,201,175,4194,6791,SRV021,PRODUCTION,,N,TXN0000012918
API000000038,2025-04-20 03:05:27,AuthAPI,/api/auth,POST,404,357,1561,4239,SRV018,SIT,E109,N,TXN0000001964
API000000039,2023-07-24 04:03:17,StatementAPI,/api/statements,GET,200,460,2771,4178,SRV039,PRODUCTION,,N,
API000000040,2023-06-15 03:34:01,TransactionAPI,/api/transactions,GET,200,510,4746,5181,SRV009,PRODUCTION,,N,TXN0000003986
API000000041,2025-01-06 12:42:29,StatementAPI,/api/statements,DELETE,200,61,238,2313,SRV014,PRODUCTION,,N,TXN0000004031
API000000042,2026-04-29 08:13:19,NotificationAPI,/api/notifications,GET,200,109,4331,9309,SRV021,PRODUCTION,,N,TXN0000016477
API000000043,2023-02-03 00:09:16,FraudAPI,/api/fraud,GET,200,201,4989,4064,SRV040,PRODUCTION,,N,TXN0000020662
API000000044,2025-07-06 18:16:01,LoanAPI,/api/loans,GET,429,332,1064,8903,SRV018,PRODUCTION,E106,N,
API000000045,2025-07-30 11:14:42,AccountAPI,/api/accounts,GET,400,520,2267,5429,SRV035,PRODUCTION,E102,N,
API000000046,2025-08-19 15:11:22,AccountAPI,/api/accounts,POST,500,146,201,1986,SRV026,PRODUCTION,E105,N,TXN0000005769
API000000047,2024-07-17 17:19:46,KYCAPI,/api/kyc,GET,200,406,436,8243,SRV035,PRODUCTION,,N,TXN0000013952
API000000048,2023-11-16 22:36:57,FraudAPI,/api/fraud,GET,200,234,2489,1020,SRV019,PRODUCTION,,N,
API000000049,2023-07-03 05:05:24,StatementAPI,/api/statements,GET,200,321,4248,3577,SRV040,PRODUCTION,,N,TXN0000005870
API000000050,2023-01-08 16:05:35,AccountAPI,/api/accounts,GET,502,35,2861,5262,SRV010,PRODUCTION,E103,N,TXN0000000465
API000000051,2024-06-28 10:48:23,StatementAPI,/api/statements,POST,200,716,2484,5606,SRV027,PRODUCTION,,N,
API000000052,2025-10-14 23:50:55,PaymentAPI,/api/payments,POST,200,641,4067,6496,SRV023,PRODUCTION,,N,TXN0000001343
API000000053,2024-12-26 03:12:10,StatementAPI,/api/statements,GET,200,118,4686,2677,SRV034,PRODUCTION,,N,
API000000054,2024-08-07 07:36:50,NotificationAPI,/api/notifications,POST,200,278,2014,3897,SRV029,SIT,,N,TXN0000006857
API000000055,2025-04-14 06:19:02,LoanAPI,/api/loans,GET,200,75,337,3045,SRV013,PRODUCTION,,N,TXN0000004817
API000000056,2026-05-05 13:03:40,AccountAPI,/api/accounts,GET,200,383,1068,8903,SRV006,PRODUCTION,,N,TXN0000014342
API000000057,2023-04-30 19:13:02,NotificationAPI,/api/notifications,GET,200,180,4767,7425,SRV024,SIT,,N,
API000000058,2025-12-28 14:33:07,FraudAPI,/api/fraud,GET,200,226,136,1045,SRV002,UAT,,N,TXN0000019953
API000000059,2023-04-12 04:50:28,AccountAPI,/api/accounts,GET,200,197,1937,5240,SRV036,PRODUCTION,,N,
API000000060,2026-01-06 21:00:46,FraudAPI,/api/fraud,POST,200,212,1658,480,SRV038,PRODUCTION,,N,
API000000061,2024-10-20 12:15:39,LoanAPI,/api/loans,GET,200,145,1724,5043,SRV009,PRODUCTION,,N,TXN0000004379
API000000062,2023-05-21 23:16:58,CustomerAPI,/api/customers,POST,403,176,2206,901,SRV001,PRODUCTION,E104,N,TXN0000021861
API000000063,2024-08-10 11:59:01,NotificationAPI,/api/notifications,GET,500,223,1338,9576,SRV036,SIT,E105,N,
API000000064,2025-06-18 00:18:13,LoanAPI,/api/loans,POST,500,260,3769,7563,SRV034,SIT,E106,N,TXN0000010341
API000000065,2025-01-20 22:36:34,AccountAPI,/api/accounts,GET,200,163,1565,340,SRV005,PRODUCTION,,N,TXN0000013200
API000000066,2026-02-22 18:36:03,KYCAPI,/api/kyc,GET,200,588,171,4653,SRV002,PRODUCTION,,N,
API000000067,2025-10-27 12:58:46,TransactionAPI,/api/transactions,GET,200,91,3312,9850,SRV028,PRODUCTION,,N,TXN0000013092
API000000068,2024-05-15 18:46:00,TransactionAPI,/api/transactions,GET,200,127,1477,9199,SRV028,PRODUCTION,,N,TXN0000014102
API000000069,2026-07-12 00:37:03,AccountAPI,/api/accounts,GET,200,229,2133,7154,SRV018,PRODUCTION,,N,TXN0000016336
API000000070,2023-06-14 18:11:02,KYCAPI,/api/kyc,PUT,200,189,2127,5961,SRV007,PRODUCTION,,N,TXN0000017259
API000000071,2023-06-15 15:26:37,NotificationAPI,/api/notifications,POST,200,249,4306,2975,SRV012,UAT,,N,TXN0000015915
API000000072,2026-01-01 16:12:39,NotificationAPI,/api/notifications,POST,403,603,2602,5916,SRV010,PRODUCTION,E105,N,TXN0000009049
API000000073,2025-08-30 14:09:43,TransactionAPI,/api/transactions,GET,200,29,2964,6618,SRV025,PRODUCTION,,N,TXN0000016686
API000000074,2024-01-01 19:28:02,LoanAPI,/api/loans,PUT,503,312,3292,9363,SRV023,SIT,E106,N,TXN0000007536
API000000075,2026-05-02 01:39:38,LoanAPI,/api/loans,GET,200,178,2167,574,SRV036,SIT,,N,
API000000076,2024-05-17 22:34:07,NotificationAPI,/api/notifications,PUT,200,105,3795,7272,SRV001,PRODUCTION,,N,TXN0000001061
API000000077,2023-03-18 23:58:31,NotificationAPI,/api/notifications,POST,500,219,1862,5169,SRV010,PRODUCTION,E101,N,TXN0000017397
API000000078,2025-10-18 18:46:59,PaymentAPI,/api/payments,POST,200,455,1522,2433,SRV028,PRODUCTION,,N,TXN0000005215
API000000079,2025-07-05 19:24:54,NotificationAPI,/api/notifications,GET,200,74,2022,5860,SRV011,PRODUCTION,,N,TXN0000008705
API000000080,2024-09-05 05:20:22,AccountAPI,/api/accounts,POST,200,301,2918,9648,SRV006,PRODUCTION,,N,TXN0000012123
API000000081,2026-07-22 10:17:53,TransactionAPI,/api/transactions,POST,200,185,4894,9784,SRV035,PRODUCTION,,N,
API000000082,2025-08-08 23:02:25,TransactionAPI,/api/transactions,GET,200,378,350,3645,SRV024,UAT,,N,TXN0000019425
API000000083,2025-10-12 20:44:55,PaymentAPI,/api/payments,GET,403,187,4465,5794,SRV005,PRODUCTION,E102,N,TXN0000016050
API000000084,2025-01-30 13:25:18,FraudAPI,/api/fraud,PUT,400,94,3381,9917,SRV035,PRODUCTION,E107,N,TXN0000019485
API000000085,2023-06-23 17:30:02,KYCAPI,/api/kyc,POST,200,214,2913,864,SRV001,PRODUCTION,,N,TXN0000008059
API000000086,2025-10-14 03:41:56,CustomerAPI,/api/customers,POST,200,158,2253,2183,SRV017,PRODUCTION,,N,TXN0000017498
API000000087,2024-02-19 06:48:40,StatementAPI,/api/statements,DELETE,200,269,1604,7981,SRV010,SIT,,N,
API000000088,2025-07-18 21:52:49,NotificationAPI,/api/notifications,POST,201,286,448,4085,SRV039,PRODUCTION,,N,TXN0000019737
API000000089,2025-04-18 05:54:25,LoanAPI,/api/loans,POST,200,424,2399,5952,SRV030,PRODUCTION,,N,TXN0000008770
API000000090,2023-04-16 15:50:36,AccountAPI,/api/accounts,GET,401,321,4072,3168,SRV034,PRODUCTION,E101,N,TXN0000001928
API000000091,2023-02-18 05:32:39,KYCAPI,/api/kyc,PUT,401,636,3810,2616,SRV017,PRODUCTION,E106,N,TXN0000016986
API000000092,2025-12-26 03:36:35,FraudAPI,/api/fraud,GET,200,45,4430,2406,SRV038,PRODUCTION,,N,TXN0000013615
API000000093,2025-03-14 01:22:46,PaymentAPI,/api/payments,GET,200,136,306,7105,SRV015,PRODUCTION,,N,TXN0000014829
API000000094,2026-01-17 16:10:17,CustomerAPI,/api/customers,PUT,200,131,3857,8641,SRV016,PRODUCTION,,N,
API000000095,2025-09-28 13:54:13,FraudAPI,/api/fraud,PUT,200,246,2762,418,SRV020,UAT,,N,TXN0000021432
API000000096,2026-02-04 03:59:54,StatementAPI,/api/statements,GET,409,458,3574,5238,SRV030,PRODUCTION,E102,N,TXN0000005427
API000000097,2023-03-19 16:34:42,FraudAPI,/api/fraud,GET,400,197,3897,1252,SRV032,PRODUCTION,E106,N,
API000000098,2023-12-05 05:27:48,StatementAPI,/api/statements,PUT,200,87,2101,6869,SRV030,PRODUCTION,,N,TXN0000002337
API000000099,2024-02-02 19:48:10,TransactionAPI,/api/transactions,POST,200,134,3211,4651,SRV025,SIT,,N,TXN0000022213
API000000100,2024-06-06 11:48:52,TransactionAPI,/api/transactions,DELETE,201,177,2232,3229,SRV037,PRODUCTION,,N,TXN0000007519
API000000101,2026-06-02 14:21:54,StatementAPI,/api/statements,PUT,200,286,4708,6050,SRV016,UAT,,N,TXN0000004539
API000000102,2026-06-17 15:47:41,PaymentAPI,/api/payments,GET,200,54,4551,8530,SRV026,PRODUCTION,,N,TXN0000001646
API000000103,2024-04-06 13:01:12,TransactionAPI,/api/transactions,POST,200,66,3486,5403,SRV011,PRODUCTION,,N,TXN0000020387
API000000104,2023-08-28 20:50:41,StatementAPI,/api/statements,GET,200,461,2350,8940,SRV012,SIT,,N,
API000000105,2023-04-10 21:34:06,CustomerAPI,/api/customers,GET,200,256,3346,8306,SRV034,PRODUCTION,,N,
API000000106,2025-05-30 23:57:37,StatementAPI,/api/statements,POST,503,174,4094,9597,SRV020,PRODUCTION,E106,N,TXN0000004718
API000000107,2026-05-15 11:47:58,TransactionAPI,/api/transactions,GET,200,313,3162,5468,SRV035,PRODUCTION,,N,
API000000108,2025-09-29 10:05:18,CustomerAPI,/api/customers,GET,400,162,566,4712,SRV025,PRODUCTION,E109,N,TXN0000016736
API000000109,2026-01-18 17:20:00,FraudAPI,/api/fraud,GET,200,227,924,1760,SRV009,UAT,,N,TXN0000022126
API000000110,2024-07-03 07:28:49,FraudAPI,/api/fraud,GET,200,189,1307,8000,SRV001,PRODUCTION,,N,TXN0000007258
API000000111,2025-10-07 07:39:55,TransactionAPI,/api/transactions,PUT,200,81,1033,2000,SRV021,PRODUCTION,,N,TXN0000023416
API000000112,2026-07-07 01:02:05,CustomerAPI,/api/customers,POST,200,143,992,6126,SRV006,PRODUCTION,,N,
API000000113,2025-12-04 00:25:26,LoanAPI,/api/loans,POST,200,465,3611,1870,SRV028,PRODUCTION,,N,TXN0000002993
API000000114,2023-05-16 01:32:11,TransactionAPI,/api/transactions,DELETE,200,111,625,2333,SRV002,PRODUCTION,,N,TXN0000022778
API000000115,2023-11-04 20:48:17,AccountAPI,/api/accounts,GET,201,199,901,4865,SRV035,PRODUCTION,,N,TXN0000016481
API000000116,2025-10-13 22:38:52,CustomerAPI,/api/customers,GET,200,80,4084,8008,SRV020,PRODUCTION,,N,TXN0000010495
API000000117,2026-05-27 05:31:29,NotificationAPI,/api/notifications,GET,200,44,1608,3916,SRV012,PRODUCTION,,N,TXN0000001732
API000000118,2024-02-14 05:49:58,LoanAPI,/api/loans,POST,200,79,3446,8757,SRV032,SIT,,N,
API000000119,2025-04-15 23:32:13,NotificationAPI,/api/notifications,GET,200,228,4315,9575,SRV038,PRODUCTION,,N,TXN0000019659
API000000120,2023-06-13 01:41:04,TransactionAPI,/api/transactions,POST,500,124,1265,640,SRV025,PRODUCTION,E103,N,
API000000121,2023-05-26 01:04:42,CustomerAPI,/api/customers,POST,200,149,1948,9810,SRV001,UAT,,N,
API000000122,2023-10-01 05:50:51,PaymentAPI,/api/payments,DELETE,200,201,2044,1628,SRV025,PRODUCTION,,N,TXN0000023619
API000000123,2025-07-27 17:39:50,FraudAPI,/api/fraud,GET,200,445,3276,4180,SRV010,PRODUCTION,,N,TXN0000005400
API000000124,2024-10-12 06:26:01,CustomerAPI,/api/customers,GET,200,363,1962,9361,SRV012,UAT,,N,
API000000125,2025-01-27 04:12:11,AuthAPI,/api/auth,GET,200,146,623,7776,SRV017,SIT,,N,
API000000126,2024-11-28 20:30:18,AuthAPI,/api/auth,PUT,200,223,2416,5811,SRV023,PRODUCTION,,N,TXN0000024527
API000000127,2023-02-26 09:25:16,StatementAPI,/api/statements,GET,200,72,2960,657,SRV019,PRODUCTION,,N,
API000000128,2025-10-30 19:43:51,LoanAPI,/api/loans,POST,200,78,2010,1757,SRV026,UAT,,N,
API000000129,2023-06-29 05:05:43,StatementAPI,/api/statements,GET,200,76,612,5420,SRV035,PRODUCTION,,N,
API000000130,2025-09-03 02:54:12,PaymentAPI,/api/payments,PUT,201,125,2497,7027,SRV021,PRODUCTION,,N,
API000000131,2023-12-10 01:45:18,AuthAPI,/api/auth,POST,404,33,1053,7061,SRV010,PRODUCTION,E110,N,TXN0000010339
API000000132,2024-02-28 07:43:54,TransactionAPI,/api/transactions,PUT,201,469,4929,625,SRV035,SIT,,N,
API000000133,2023-01-30 07:49:56,AuthAPI,/api/auth,DELETE,500,154,3938,6969,SRV011,PRODUCTION,E105,N,TXN0000008356
API000000134,2024-01-19 19:21:32,StatementAPI,/api/statements,POST,400,340,1793,898,SRV034,PRODUCTION,E103,N,
API000000135,2025-07-20 14:21:02,TransactionAPI,/api/transactions,PUT,200,55,1240,3151,SRV021,SIT,,N,TXN0000014075
API000000136,2023-02-22 23:14:41,LoanAPI,/api/loans,GET,200,80,347,7667,SRV007,PRODUCTION,,N,TXN0000021576
API000000137,2026-05-14 03:27:20,CustomerAPI,/api/customers,GET,200,257,2958,9291,SRV029,PRODUCTION,,N,TXN0000013590
API000000138,2026-05-14 13:41:44,AuthAPI,/api/auth,GET,200,171,4657,7479,SRV011,SIT,,N,TXN0000021123
API000000139,2025-11-17 00:48:42,PaymentAPI,/api/payments,POST,200,440,413,4970,SRV017,UAT,,N,TXN0000012690
API000000140,2025-09-09 14:03:11,NotificationAPI,/api/notifications,POST,200,127,698,4280,SRV013,PRODUCTION,,N,TXN0000006547
API000000141,2023-09-30 06:45:21,StatementAPI,/api/statements,GET,200,121,977,9411,SRV025,PRODUCTION,,N,
API000000142,2024-02-16 22:07:45,FraudAPI,/api/fraud,POST,401,181,2906,9725,SRV005,PRODUCTION,E100,N,TXN0000021067
API000000143,2024-08-29 09:09:56,AuthAPI,/api/auth,GET,200,343,1437,8056,SRV036,PRODUCTION,,N,
API000000144,2026-03-25 12:34:25,KYCAPI,/api/kyc,GET,401,106,4986,6058,SRV033,PRODUCTION,E101,N,
API000000145,2024-04-28 17:13:10,AccountAPI,/api/accounts,POST,200,567,1653,6418,SRV012,UAT,,N,
API000000146,2025-05-19 11:54:03,FraudAPI,/api/fraud,GET,200,442,161,4077,SRV035,PRODUCTION,,N,
API000000147,2026-01-06 13:50:51,AccountAPI,/api/accounts,POST,200,84,3771,6598,SRV012,PRODUCTION,,N,
API000000148,2025-06-28 12:46:07,StatementAPI,/api/statements,PUT,504,118,3978,6824,SRV034,SIT,E109,Y,TXN0000003491
API000000149,2026-04-12 19:52:56,AuthAPI,/api/auth,POST,200,392,3794,4309,SRV010,PRODUCTION,,N,
API000000150,2024-01-04 11:15:44,AuthAPI,/api/auth,GET,200,155,4437,8727,SRV015,PRODUCTION,,N,TXN0000023906
API000000151,2023-12-04 08:29:27,NotificationAPI,/api/notifications,GET,200,218,2040,7242,SRV029,PRODUCTION,,N,
API000000152,2025-11-22 02:56:29,FraudAPI,/api/fraud,POST,200,252,1991,5726,SRV009,PRODUCTION,,N,
API000000153,2023-03-14 10:39:33,AccountAPI,/api/accounts,GET,200,121,3431,6652,SRV031,SIT,,N,TXN0000016969
API000000154,2024-11-01 08:47:21,KYCAPI,/api/kyc,GET,200,156,898,6140,SRV030,PRODUCTION,,N,
API000000155,2026-02-25 18:22:01,CustomerAPI,/api/customers,POST,500,268,3266,1026,SRV023,PRODUCTION,E101,N,
API000000156,2024-01-12 19:03:18,KYCAPI,/api/kyc,GET,200,240,3834,7699,SRV027,SIT,,N,
API000000157,2025-09-21 14:03:34,CustomerAPI,/api/customers,POST,200,249,1438,5355,SRV017,SIT,,N,
API000000158,2024-10-15 18:05:31,AccountAPI,/api/accounts,GET,200,593,4166,3703,SRV034,UAT,,N,TXN0000011588
API000000159,2024-05-08 14:03:23,StatementAPI,/api/statements,POST,200,250,442,1546,SRV017,PRODUCTION,,N,
API000000160,2024-04-28 13:25:17,StatementAPI,/api/statements,GET,200,366,3310,7291,SRV021,UAT,,N,
API000000161,2024-08-07 06:38:14,NotificationAPI,/api/notifications,PUT,200,183,2977,5771,SRV019,SIT,,N,TXN0000014441
API000000162,2025-08-17 08:07:13,AuthAPI,/api/auth,GET,200,75,416,8457,SRV024,PRODUCTION,,N,TXN0000000599
API000000163,2026-01-01 00:28:20,AccountAPI,/api/accounts,GET,200,62,4979,1759,SRV023,UAT,,N,TXN0000024441
API000000164,2025-06-05 17:28:39,AccountAPI,/api/accounts,GET,400,159,691,469,SRV023,PRODUCTION,E109,N,TXN0000013784
API000000165,2026-03-25 00:05:55,TransactionAPI,/api/transactions,GET,200,97,687,6735,SRV004,PRODUCTION,,N,TXN0000023076
API000000166,2025-04-17 23:32:17,AuthAPI,/api/auth,GET,200,468,4941,7504,SRV030,PRODUCTION,,N,
API000000167,2024-09-17 07:50:11,StatementAPI,/api/statements,POST,200,114,1371,6355,SRV034,SIT,,N,TXN0000004601
API000000168,2025-05-06 02:23:13,AccountAPI,/api/accounts,GET,200,329,2771,7263,SRV012,PRODUCTION,,N,TXN0000008290
API000000169,2023-05-31 10:57:55,LoanAPI,/api/loans,GET,200,335,1687,3389,SRV007,PRODUCTION,,N,TXN0000024105
API000000170,2025-03-02 11:41:45,TransactionAPI,/api/transactions,POST,200,212,1248,7798,SRV020,PRODUCTION,,N,
API000000171,2025-07-14 22:34:44,KYCAPI,/api/kyc,GET,200,523,1604,9596,SRV034,PRODUCTION,,N,TXN0000007405
API000000172,2023-12-23 11:55:50,PaymentAPI,/api/payments,GET,201,32,809,8478,SRV032,PRODUCTION,,N,TXN0000011813
API000000173,2023-04-29 14:45:53,AuthAPI,/api/auth,POST,201,202,1276,7109,SRV002,PRODUCTION,,N,TXN0000015867
API000000174,2024-03-17 00:23:27,LoanAPI,/api/loans,GET,200,106,4026,2092,SRV040,PRODUCTION,,N,TXN0000001471
API000000175,2024-03-14 22:46:23,CustomerAPI,/api/customers,PUT,200,226,3440,5098,SRV001,PRODUCTION,,N,TXN0000002857
API000000176,2023-08-20 20:34:23,AccountAPI,/api/accounts,POST,200,95,2111,5327,SRV024,PRODUCTION,,N,TXN0000024523
API000000177,2026-05-04 00:53:53,CustomerAPI,/api/customers,POST,200,1077,4975,7483,SRV019,SIT,,N,TXN0000013434
API000000178,2025-04-06 19:35:11,CustomerAPI,/api/customers,GET,200,217,4045,2575,SRV023,PRODUCTION,,N,TXN0000013410
API000000179,2025-07-20 03:26:56,FraudAPI,/api/fraud,GET,200,46,210,8147,SRV005,UAT,,N,TXN0000008143
API000000180,2026-03-10 14:01:35,StatementAPI,/api/statements,DELETE,500,43,670,3234,SRV008,UAT,E100,N,TXN0000009690
API000000181,2025-01-24 07:01:43,LoanAPI,/api/loans,GET,200,206,205,5831,SRV040,PRODUCTION,,N,TXN0000024966
API000000182,2024-07-20 19:16:37,LoanAPI,/api/loans,GET,200,563,3888,4627,SRV036,PRODUCTION,,N,TXN0000010020
API000000183,2023-08-24 13:57:54,PaymentAPI,/api/payments,POST,409,123,1047,4814,SRV009,PRODUCTION,E110,N,TXN0000009972
API000000184,2024-12-01 06:07:30,PaymentAPI,/api/payments,DELETE,200,142,1130,5840,SRV019,PRODUCTION,,N,TXN0000011038
API000000185,2025-10-23 00:16:56,TransactionAPI,/api/transactions,POST,401,116,471,9755,SRV029,PRODUCTION,E111,N,TXN0000017303
API000000186,2023-05-25 04:20:07,AccountAPI,/api/accounts,POST,502,346,2529,3959,SRV038,PRODUCTION,E107,N,TXN0000022901
API000000187,2024-11-18 16:32:00,NotificationAPI,/api/notifications,POST,201,139,3991,4435,SRV030,SIT,,N,TXN0000014418
API000000188,2026-07-24 07:49:31,PaymentAPI,/api/payments,POST,200,336,4166,5473,SRV012,PRODUCTION,,N,
API000000189,2024-06-22 22:17:23,FraudAPI,/api/fraud,GET,200,65,4394,1584,SRV028,PRODUCTION,,N,TXN0000004024
API000000190,2023-08-08 02:48:16,LoanAPI,/api/loans,POST,200,167,4605,6250,SRV015,UAT,,N,TXN0000013585
API000000191,2026-05-29 10:55:15,KYCAPI,/api/kyc,PUT,200,618,2727,3062,SRV005,PRODUCTION,,N,
API000000192,2023-01-05 20:20:26,KYCAPI,/api/kyc,GET,200,184,4366,8615,SRV036,UAT,,N,
API000000193,2026-07-08 15:06:04,CustomerAPI,/api/customers,PUT,409,281,1007,5323,SRV026,PRODUCTION,E110,N,TXN0000016846
API000000194,2025-07-09 07:16:58,TransactionAPI,/api/transactions,GET,200,412,3897,7950,SRV006,PRODUCTION,,N,TXN0000023738
API000000195,2026-06-09 19:09:32,FraudAPI,/api/fraud,GET,500,77,835,8579,SRV013,PRODUCTION,E105,N,
API000000196,2025-09-18 16:40:09,PaymentAPI,/api/payments,GET,200,426,1502,3473,SRV003,PRODUCTION,,N,TXN0000017399
API000000197,2025-06-25 23:51:29,AccountAPI,/api/accounts,GET,200,347,3755,4631,SRV036,SIT,,N,
API000000198,2023-09-10 06:31:45,PaymentAPI,/api/payments,POST,200,95,1902,3520,SRV021,PRODUCTION,,N,
API000000199,2025-06-13 20:32:50,StatementAPI,/api/statements,PUT,200,166,2587,7870,SRV001,PRODUCTION,,N,TXN0000012636
API000000200,2023-08-06 08:11:31,StatementAPI,/api/statements,GET,504,37,951,4417,SRV003,SIT,E102,Y,
API000000201,2025-09-17 20:47:29,CustomerAPI,/api/customers,GET,400,100,4441,454,SRV016,PRODUCTION,E103,N,TXN0000010965
API000000202,2026-04-24 12:57:40,StatementAPI,/api/statements,POST,504,196,1858,6457,SRV006,PRODUCTION,E102,Y,TXN0000015168
API000000203,2023-03-02 14:54:46,AccountAPI,/api/accounts,POST,404,357,1640,3757,SRV023,SIT,E102,N,TXN0000009069
API000000204,2023-01-21 02:50:32,TransactionAPI,/api/transactions,GET,200,176,586,1350,SRV003,PRODUCTION,,N,TXN0000008997
API000000205,2025-04-08 03:52:19,FraudAPI,/api/fraud,POST,201,107,534,4110,SRV029,PRODUCTION,,N,TXN0000003605
API000000206,2025-06-07 01:21:15,StatementAPI,/api/statements,POST,200,58,2264,3496,SRV014,PRODUCTION,,N,
API000000207,2023-04-08 00:41:50,FraudAPI,/api/fraud,POST,200,637,144,395,SRV002,PRODUCTION,,N,
API000000208,2023-04-13 21:45:41,AccountAPI,/api/accounts,POST,200,368,3921,6128,SRV022,PRODUCTION,,N,TXN0000001231
API000000209,2026-05-16 03:23:22,AuthAPI,/api/auth,GET,400,726,3722,5654,SRV022,SIT,E103,N,TXN0000015629
